================================================================================
  Auto-patterns benchmark: detailed breakdown
================================================================================

Metric                   Baseline         Head           Delta
-----------------------------------------------------------------
Wall time (s)               809.6        839.0      +29.4 (+3.6%)
Z3 time (s)                1454.5       1724.4     +269.9 (+18.6%)
Z3 rlimit                  2776.6       2642.0     -134.6 (-4.8%)
Queries                     25889        25864        -25 (-0.1%)

==============================================================================================================
  Per-module breakdown (sorted by rlimit delta)
==============================================================================================================

Module                                       BQ     HQ      DQ      BRlim     HRlim   DRlim(%)    BZ3(s)   HZ3(s)
Bug213                                        3      3      +0        0.0       0.0      +0.0%       0.2      0.4
Bug2138                                       2      2      +0        0.0       0.0      +0.0%       0.1      0.3
Bug2169                                      19     19      +0        0.6       0.6      +0.0%       1.4      1.3
Bug2169.ND                                    3      3      +0        0.0       0.0      +0.0%       0.1      0.1
Bug2169b                                     12     12      +0        0.1       0.1      +0.0%       0.2      0.5
Bug2169b.ND                                   3      3      +0        0.0       0.0      +0.0%       0.0      0.1
Bug2172                                       3      3      +0        0.0       0.0      +0.0%       0.2      0.4
Bug2184                                       2      2      +0        0.0       0.0      +0.0%       0.4      0.3
Bug2189                                       2      2      +0        0.0       0.0      +0.0%       0.0      0.1
Bug2210                                       2      2      +0        0.0       0.0      +0.0%       0.5      0.2
Bug2257                                       1      1      +0        0.0       0.0      +0.0%       0.4      0.3
Bug2269                                       3      3      +0        0.0       0.0      +0.0%       0.3      0.5
Bug2331                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.4
Bug2352                                       4      4      +0        0.0       0.0      +0.0%       0.5      0.3
Bug2366                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.4
